,psraid,form_abc,q2a,q2b,q2ef2,q6f2,q7ef2,q7ff2,q7gf2,q7hf2,q8df2,q8ef2,q8ff2,q11fa,q12fb,q13fc,educ2,schl,qe1,qe3,q16,q17,q18,q22f2,q23,q27,q32,q35,q49,q50a,q50b,q50c,q53ef2,q53ff2,q53gf2,q53hf2,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,sex,age,recage,recage2,gen5,marital,parent,hisp,race3m1,race3m2,race3m3,race3m4,racethn,racethn2,racecmb,birth_hisp,usborn1a,relig,chr,born,attend,income,reg,party,partyln,partysum,partyideo,ideo,ownrent,labor,hh1,hh3,ql1,ql1a,qc1,usr,cregion,state,density,child,laborsum,adults,ll,cp
916,103794,1,2,2,2,2,2,2,1,1,2,1,1,2,NA,NA,6,6,3,1,1,NA,3,1,3,1,1,2,1,2,2,3,4,3,3,1,2,2,2,4,2,3,3,3,1,47,4,2,4,6,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,3,7,1,2,NA,2,4,3,1,4,1,NA,1,NA,NA,S,3,48,2,0,1,1,1,1
3243,207732,2,1,2,1,2,2,2,2,2,2,2,1,NA,2,NA,5,6,3,1,1,NA,1,1,1,1,1,2,2,1,2,1,3,2,2,1,1,1,1,4,2,3,1,2,2,39,3,2,4,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,5,7,1,3,1,1,3,3,1,4,5,3,NA,NA,1,R,2,19,1,2,1,3,1,1
1675,201526,1,1,1,1,2,2,2,1,2,4,3,3,3,NA,NA,6,6,3,1,1,NA,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,43,3,2,4,1,1,2,3,NA,NA,NA,4,5,3,NA,2,7,NA,NA,4,7,1,2,NA,2,5,5,1,NA,5,2,NA,NA,2,S,4,6,5,3,1,2,0,1
1471,200914,1,1,2,1,1,2,1,1,1,3,1,1,2,NA,NA,8,6,3,1,1,NA,2,1,2,2,1,1,1,2,1,1,5,2,3,2,2,2,2,4,2,3,2,4,1,39,3,2,4,1,1,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,2,6,1,2,NA,2,5,4,1,NA,4,2,NA,NA,1,U,4,35,1,2,1,2,1,1
3495,208738,2,1,1,1,2,2,2,2,1,1,2,1,NA,2,NA,5,6,3,1,1,NA,1,1,2,1,1,1,2,2,2,2,3,3,3,2,1,2,3,1,2,3,1,2,1,62,5,3,3,1,2,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,2,4,7,1,2,NA,2,4,3,1,4,2,2,NA,NA,1,U,3,37,4,0,1,2,1,1
1515,201059,1,1,2,2,9,2,2,1,1,1,2,2,4,NA,NA,5,6,3,1,1,NA,1,3,1,1,3,1,1,3,3,3,1,3,3,1,1,1,1,5,3,4,1,5,2,35,3,2,5,2,1,2,2,NA,NA,NA,2,2,2,NA,1,1,NA,1,3,6,1,3,2,2,3,3,1,NA,4,2,NA,NA,1,U,3,12,2,2,1,2,1,1
962,103971,2,1,1,1,2,2,9,1,1,3,2,1,NA,3,NA,5,4,3,1,1,NA,1,2,2,1,1,2,2,2,2,2,2,2,2,3,1,3,2,1,3,2,2,3,1,22,1,1,5,6,2,1,7,NA,NA,NA,3,4,5,3,NA,12,NA,NA,6,3,3,4,9,9,9,9,4,4,7,3,1,NA,NA,U,4,6,2,4,1,3,1,1
2449,204515,3,1,2,1,2,1,2,1,1,1,3,4,NA,NA,1,3,6,3,1,2,1,1,1,2,1,2,2,2,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,28,2,1,5,6,2,1,7,NA,NA,NA,3,3,5,1,NA,2,NA,1,2,3,3,2,NA,2,4,3,4,4,7,7,NA,NA,2,U,2,17,5,0,1,3,0,1
972,103999,1,1,4,2,2,2,2,1,2,3,2,2,2,NA,NA,3,6,3,1,1,NA,1,3,1,1,3,1,2,NA,NA,NA,3,3,3,2,2,2,2,2,3,5,2,3,1,63,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,5,4,1,1,NA,1,1,1,2,4,2,2,1,NA,NA,S,3,12,2,0,1,2,1,1
209,100839,3,3,2,3,2,2,2,3,1,4,4,1,NA,NA,2,6,6,3,1,1,NA,1,3,2,2,1,1,2,1,2,1,5,3,2,2,1,2,1,5,2,3,1,3,1,56,5,3,3,5,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,2,8,1,1,NA,1,1,1,1,NA,1,NA,1,NA,NA,S,2,29,4,0,1,1,1,1
